Model,CV_F1,F1,Precision,Recall,AUC,Brier,Accuracy,Runtime
GradientBoostingClassifier,0.796697945218502,0.7714636140637776,0.7846153846153846,0.758745476477684,0.8630613692074444,0.14915958321168715,0.7907150879820292,455.90458846092224
XGBoostClassifier,0.7944765720654969,0.7679376793767938,0.7833542450857381,0.7531162042621633,0.8620912105470339,0.14973153419343768,0.7880943466866343,192.2981894016266
CatBoostClassifier,0.7966755882887089,0.7677141096734442,0.7846347607052897,0.7515078407720145,0.8639623062693078,0.1487621614391212,0.7882815424934482,459.6550407409668
LGBMClassifier,0.7955364768150723,0.7664547877793726,0.7820083682008369,0.7515078407720145,0.8622523989896324,0.14971621736910284,0.7867839760389367,166.845956325531
RandomForestClassifier,0.7906638614074016,0.7640541649569143,0.7800586510263929,0.7486932046642542,0.8564051104271108,0.15523027640316336,0.7847248221639835,312.33101439476013
LogisticRegression,0.7724356933763892,0.7569961747533722,0.7580645161290323,0.7559308403699236,0.8516174827139655,0.1558801983998879,0.7740546611755896,185.42150354385376
RidgeClassifier,0.7708349491225311,0.7567457902211402,0.7637182637182637,0.7498994772818657,0.851268487553844,0.1836607923791303,0.7755522276301011,2.0029454231262207
AdaBoostClassifier,0.7801125460281113,0.7563665530378986,0.7544,0.7583433856051468,0.849671672733239,0.16399096001748062,0.7725570947210783,254.20199346542358
StochasticGradientClassifier,0.6992425391056074,0.5293863439930856,0.572162540868753,0.4925613188580619,0.5917519261279495,0.39673898705094107,0.5922875327592662,4.548663377761841
