Model,CV_F1,F1,Precision,Recall,AUC,Brier,Accuracy,Runtime
RandomForestClassifier,0.8939316284458737,0.5784408084696824,0.6373276776246023,0.5295154185022026,0.8289171917163444,0.1229456461849697,0.8360164732309996,439.1401107311249
RidgeClassifier,0.7611508627088185,0.5753623188405798,0.4886153846153846,0.6995594713656388,0.8237724204153137,0.20077255946226205,0.7806065144140771,2.9437108039855957
LogisticRegression,0.764905391804737,0.5735607675906184,0.4806432400238237,0.7110132158590309,0.8231420466623176,0.1631909655715533,0.7753650318232872,189.94762206077576
AdaBoostClassifier,0.8386242381191662,0.5733222866611434,0.5410476935105551,0.6096916299559472,0.8228226712558993,0.15399808333816825,0.8071883189816548,511.49199748039246
GradientBoostingClassifier,0.8941993579807181,0.5666327568667345,0.6702767749699158,0.4907488986784141,0.8352110862009929,0.11790159914266057,0.8405091725945338,921.8230400085449
LGBMClassifier,0.8929378917481074,0.559207094418362,0.6854219948849105,0.4722466960352423,0.8348653230560771,0.1179742625913966,0.8418195432422314,204.9873194694519
XGBoostClassifier,0.8944911543219136,0.558961038961039,0.6810126582278481,0.47400881057268723,0.8342996620903487,0.11815784321351087,0.8410707600149757,203.27128171920776
CatBoostClassifier,0.8943073117551595,0.5578019699326076,0.6775818639798489,0.47400881057268723,0.835632452310969,0.1169360128229181,0.8403219767877199,458.25911259651184
StochasticGradientClassifier,0.6571993308374091,0.5196638655462185,0.4201086956521739,0.681057268722467,0.743368038794164,0.24037771813897868,0.7324971920628978,3.314711332321167
